stage,loss_mode,epoch,step,train_loss,train_top1,train_top3,train_mrr10,train_entropy,train_ece,train_sec,train_it_per_sec,val_loss,val_top1,val_top3,val_mrr10,val_entropy,val_ece,val_sec,val_it_per_sec
start,pairwise,1,0,0.873230337273013,0.17374238239157042,0.3749418362837853,0.3161288002847161,2.540995436412651,0.09282950668939809,421.69061183929443,4.6337289594312,0.8173573074162678,0.18993660183041952,0.3989775938076275,0.33668668043467015,2.433194606306609,0.0994492454543059,199.44017505645752,9.797424212282515
start,pairwise,2,1,0.7874650510758192,0.1954073626147688,0.4104972213293171,0.34592840592534174,2.3749134233078424,0.10781503077427522,426.2909219264984,4.583724164637292,0.7570822613815202,0.20155366016752035,0.4242822573183747,0.3557002037580572,2.3514702793519597,0.10813934106835578,175.9868369102478,11.10310313149459
middle,topk_kl,1,2,2.672856347709742,0.22362593237306835,0.450459537205945,0.3789292438491462,2.6871282338119946,0.05733246139685972,422.25836634635925,4.627498602117035,2.615806920257537,0.23656292492285477,0.4712798885063115,0.3945565553288621,2.668380841994115,0.057935004636802366,171.72307085990906,11.37878556570925
middle,topk_kl,2,3,2.57365743372067,0.24822654633829513,0.48812787346122455,0.40778598306794006,2.595970803541927,0.06115496242078993,420.3089210987091,4.6489615183330955,2.5249326975831234,0.2608226405012449,0.5046179603590814,0.4214238652095824,2.5127746144971193,0.06332298091289039,174.52480626106262,11.196116138797557
middle,topk_kl,3,4,2.495253723499841,0.26838872535201885,0.5159620898589873,0.4299710131228397,2.519061853600134,0.06443098544482377,417.82372403144836,4.676613336232981,2.46019962341539,0.2774335637749645,0.5294824998631326,0.4401029040893976,2.5256437264542986,0.06577244921565781,163.10606408119202,11.979934719210224
end,kl,1,5,2.438021342732401,0.2837175952466996,0.5359846963609132,0.4460868020842239,2.4621486300211726,0.06741720477938642,386.28455090522766,5.058447187237889,2.3952868814478143,0.2948683369428133,0.549006862430514,0.4574083690755565,2.440006016830827,0.06819468740680498,146.37807369232178,13.348993812469446
end,kl,2,6,2.3940602074870068,0.2955791717709758,0.5507468712366469,0.4583314936017063,2.416817582129456,0.06936488599416092,377.6050879955292,5.174718408516612,2.366402140293297,0.30317540369172913,0.5588878080508116,0.4656867644041319,2.397415354771648,0.06884423790829124,146.5301969051361,13.33513529136266
end,kl,3,7,2.352523396910762,0.30537883990740705,0.5632129214864182,0.4687735745063702,2.3779871704146465,0.0705137177517393,382.4038782119751,5.109780813773164,2.3084366033606787,0.31847749726738145,0.5775932674215174,0.4814436091005253,2.3547043165872625,0.07148285804914951,149.56933903694153,13.064174867533442
end,kl,4,8,2.3154230925541452,0.3161060341243978,0.5764896596344369,0.4796282226103477,2.341310705962908,0.07168756444212553,379.9849500656128,5.1423089247682015,2.284454799601341,0.32136977817043433,0.5835206119711592,0.48571151154861236,2.327359626212652,0.07149656861643662,146.09382510185242,13.374966386414535
end,kl,5,9,2.285983347599924,0.32321868707238105,0.5842321909803939,0.48693794763991144,2.311255792634392,0.07203113462401886,378.6954538822174,5.159819004871753,2.262031263497371,0.32892786658835144,0.5913376354878366,0.4929882246646325,2.249185460494753,0.07174303307084313,144.63759303092957,13.509627469963172
end,kl,6,10,2.249615334561562,0.3320915003820964,0.595951305776682,0.49632466569954686,2.2767241640491154,0.07284426489423285,391.3146209716797,4.993424460215647,2.2249564895732377,0.3392527155128204,0.6046472056373237,0.5031583120811925,2.1808346478209404,0.0734234025171175,160.6034460067749,12.166613161697493
end,kl,7,11,2.2258893453965047,0.3390874756669803,0.6039253684368934,0.5031270986630705,2.2523280112501785,0.0736408634092965,405.65081095695496,4.816950804043495,2.186073058154224,0.34992209621376247,0.616346592058789,0.513629758827762,2.204715387115947,0.07354546859997747,156.90439224243164,12.453443603929783
end,kl,8,12,2.1971109086073777,0.3468834575238955,0.6126551947183716,0.5108574115296591,2.2244784517200356,0.07369780628740728,393.70596504211426,4.963094729314002,2.1633233526224003,0.3552966373329153,0.622039516085612,0.5191584730038501,2.2139923219915056,0.074252837753564,152.56936693191528,12.807289164881839
end,kl,9,13,2.174571386257238,0.3510150810133593,0.6192616072989535,0.5157251166315138,2.2025814471249694,0.0744010758500108,395.714781999588,4.93789994431402,2.1333083287720305,0.3633503431307501,0.6319138806698388,0.5272163945796424,2.202802898451884,0.0755920490547911,156.87703394889832,12.45561540025357
